Legacy class name	Default ns class name	New ns class name	Notes
Ac_File_Feature_HttpSend	\Avancore\File\Feature\HttpSend		
Ac_File_Feature_Image	\Avancore\File\Feature\Image		
Ac_File_Feature_MimeInfo	\Avancore\File\Feature\MimeInfo		
Ac_File_Feature_MimeInfo_Exec	\Avancore\File\Feature\MimeInfo\Exec		
Ac_File_Feature_MimeInfo_Finfo	\Avancore\File\Feature\MimeInfo\Finfo		
Ac_File_Feature_MimeInfo_MimeContentType	\Avancore\File\Feature\MimeInfo\MimeContentType		
Ac_File_Feature_WebMapping	\Avancore\File\Feature\WebMapping		
Ac_File_Manager	\Avancore\File\Manager		
Ac_File_ThumbGen	\Avancore\File\ThumbGen		
Ac_File_ThumbGen_Image	\Avancore\File\ThumbGen\Image		
Ac_Flags	\Avancore\Flags		
Ac_Form	\Avancore\Form	\Avancore\Form\Form	
Ac_Form_Context	\Avancore\Form\Context		
Ac_Form_Control	\Avancore\Form\Control		
Ac_Form_Control_Button	\Avancore\Form\Control\Button	\Avancore\Form\Control\ButtonControl	
Ac_Form_Control_Composite	\Avancore\Form\Control\Composite	\Avancore\Form\Control\CompositeControl	
Ac_Form_Control_Date	\Avancore\Form\Control\Date	\Avancore\Form\Control\DateControl	
Ac_Form_Control_DateTime	\Avancore\Form\Control\DateTime	\Avancore\Form\Control\DateTimeControl	
Ac_Form_Control_ErrorList	\Avancore\Form\Control\ErrorList	\Avancore\Form\Control\ErrorListControl	
Ac_Form_Control_Group	\Avancore\Form\Control\Group	\Avancore\Form\Control\GroupControl	
Ac_Form_Control_List	\Avancore\Form\Control\List	\Avancore\Form\Control\ListControl	
Ac_Form_Control_Listable	\Avancore\Form\Control\Listable	\Avancore\Form\Control\ListableControl	
Ac_Form_Control_Parameters	\Avancore\Form\Control\Parameters	\Avancore\Form\Control\ParametersControl	
Ac_Form_Control_Path	\Avancore\Form\Control\Path	\Avancore\Form\Control\PathControl	
Ac_Form_Control_Repeater	\Avancore\Form\Control\Repeater	\Avancore\Form\Control\RepeaterControl	
Ac_Form_Control_Static	\Avancore\Form\Control\Static	\Avancore\Form\Control\StaticControl	
Ac_Form_Control_Tabs	\Avancore\Form\Control\Tabs	\Avancore\Form\Control\TabsControl	
Ac_Form_Control_Tabs_Sheet	\Avancore\Form\Control\Tabs\Sheet	\Avancore\Form\Control\TabSheetControl	
Ac_Form_Control_Template	\Avancore\Form\Control\Template	\Avancore\Form\Template\AbstractTemplate	
Ac_Form_Control_Template_Basic	\Avancore\Form\Control\Template\Basic	\Avancore\Form\Template\BasicTemplate	
Ac_Form_Control_Template_Parameters	\Avancore\Form\Control\Template\Parameters	\Avancore\Form\Template\ParametersTemplate	
